name,cheese,entree,dessert,alcohol,colour,clarity,body,palate_carbonation,finish,hop,malt,glass,temperature,country
California Common,Feta,Pork Loin,Bread Pudding,Not Detectable to Mild,Light Amber to Medium Amber,Clear,Drying,Medium to High,Short,"Hop flavor is low to medium-low and may present as Woody, Rustic, or Minty.",Noticeable caramel-type malt flavor should be present,Nonic Pint,50-55°F,United States
German-Style Brown/Altbier,Emmental,Grilled Salmon,Apple Pie,Not Detectable to Mild,Copper to Dark Brown,Brilliant,Soft,Medium to High,Short,Hop flavor is low to medium. Hop bitterness is medium to very high (although,"Sweet malt character that may have a rich, biscuity, and/or light caramel flavor",Tulip,45-50°F,Germany
German-Style Kölsch,Nutty Cheeses,Bratwurst,Light Apricot Cake,Not Detectable,Straw to Gold,Brilliant,Soft,Medium to High,Short,"Hop flavor is low and, if evident, should express noble hop character. Hop",Malt character is a very low to low with a soft sweetness,Flute,40-45°F,Germany
Irish-Style Red,Cheddar,Roasted Vegetables,Poached Pears,Not Detectable to Mild,Copper-Red to Reddish Brown,Clear to Hazy,Soft to Moderate,Medium to High,Short,Hop aroma is not perceived or low. Hop flavor and bitterness are medium,Low to medium candy-like caramel malt sweetness is present. May have a subtle,Nonic Pint,45-55°F,Ireland
American Imperial Porter,Smoked Gouda,Chicken Mole Enchiladas,Blondie Butterscotch Brownies,Noticeable,Black,Opaque,Mouth-Coating,Medium,Medium to Long,Hop aroma and flavor are low to medium-high. Hop bitterness is medium-low,No roasted barley or strong burnt/black malt character should be perceived.,Tulip,50-55°F,United States
Baltic-Style Porter,Aged Gouda,Prime Rib,Deconstructed S'mores,Noticeable,Very Deep Ruby or Garnet to Black,Clear to Opaque,Mouth-Coating,Medium,Medium to Long,Hop aroma and flavor are very low. Hop bitterness is low to medium-low,"Distinctive malt aromas of caramelized sugars, licorice, and chocolate-like notes",Tulip,45-50°F,United Kingdom
English-Style Brown Porter,Gruyère,Roasted or Grilled Meats,Chocolate Peanut Butter Cookies,Mild,Dark Brown (may have red tint) to Very Dark,Opaque,Mouth-Coating,Low to High,Medium to Long,Hop aroma and flavor are not perceived to medium. Hop bitterness is medium,"Nutty, Chocolate, Caramel, Bready, Toffee",Nonic Pint,50-55°F,United Kingdom
Robust Porter,Gruyère,Roasted or Grilled Meats,Chocolate Peanut Butter Cookies,Mild,Very Dark to Black,Opaque,Mouth-Coating,Low to High,Medium,Hop aroma and flavor are very low to medium. Hop bitterness is medium to,"Grainy, Bready, Toffee, Caramel, Chocolate, Coffee. Caramel and other malty",Nonic Pint,50-55°F,United Kingdom
Smoke Porter,Red Dragon Cheddar,Grilled Sausage,S'mores,Varies,Dark Brown to Black,Varies,Soft,Low to High,Medium to Long,Hop aroma and flavor are not perceived to medium. Hop bitterness is medium,"Black malt character can be perceived in some porters, while others may be",Tulip,50-55°F,Undetermined
American Imperial Stout,Aged Cheeses,Foie Gras,Flour-less Chocolate Cake,Noticeable,Black,Opaque,Mouth-Coating,Low to Medium,Long,"Hop aroma and flavor are medium-high to high, with floral, citrus and/or","Bittersweet Chocolate, Cocoa, Coffee",Snifter,50-55°F,United Kingdom
American Stout,Sharp Cheddar,Grilled Lamb,Coffee Cake,Mild to Noticeable,Black,Clear to Opaque,Mouth-Coating,Low to Medium,Medium to Long,"Hop aroma and flavor are medium to high, often with American citrus-type","Low to medium malt sweetness with low to medium caramel, chocolate, and/or",Tulip,50-55°F,United States
English-Style Oatmeal Stout,Aged Cheddar,Chicken in Mole Sauce,Sweet Potato Cheesecake,Mild,Dark Brown to Black,Opaque,Mouth-Coating,Low to Medium,Medium,"Hop aroma and flavor are optional, but should not overpower the overall",Coffee-like roasted barley and roasted malt aromas are prominent. Caramel-like,Nonic Pint,50-55°F,United Kingdom
English-Style Sweet Stout (Milk Stout),Buttery Cheddar,"Mexican Mole, Spicy BBQ","Chocolate Cake, Ice Cream",Mild,Black,Opaque,Mouth-Coating,Low to Medium,Medium,Hop aroma and flavor are not perceived. Hop bitterness is low to medium-low,"Malt sweetness, chocolate, and caramel should dominate the flavor profile. Malt",Nonic Pint,50-55°F,United Kingdom
Irish-Style Dry Stout,Irish Cheddar,Ham,Chocolate Desserts,Not Detectable,Black,Clear to Opaque,Soft to Mouth-Coating,Low to Medium,Short to Medium,"Hop aroma and flavor are are not perceived to low, from European-type hops.",Dry stouts achieve a dry-roasted character through the use of roasted barley.,Nonic Pint,50-55°F,Ireland
German-Style Bock,Aged Swiss,Grilled Rib-Eye,Chocolate,Mild to Noticeable,Dark Brown to Very Dark,Clear,Soft,Low to Medium,Short to Medium,"Hop flavor is low. Hop bitterness is perceived as medium, increasing","High malt character with aromas of toasted or nut-like malt, but not caramel",Tulip,45-50°F,Germany
German-Style Doppelbock,Strong Cheeses,Ham,German Chocolate Cake,Mild to Noticeable,Copper to Dark Brown,Clear,Soft,Low to Medium,Medium,Hop aroma should be absent. Hop flavor and bitterness are low,Dominant aromas are reminiscent of fresh and lightly toasted Munich-style,Tulip,45-50°F,Germany
German-Style Maibock,Swiss,Ham,White Chocolate Cheesecake,Mild to Noticeable,Pale to Light Amber,Clear,Soft,Medium to High,Short to Medium,"Hop aroma and flavor are low to medium low, deriving from noble-type hops.",A lightly toasted and/or bready malt aroma is often evident. Roasted or heavy,Goblet,45-55°F,Germany
German-Style Weizenbock,Manchego,Chicken and Dumplings,Banana Bread,Mild to Noticeable,Gold to Very Dark,Hazy,Moderate to Mouth-Coating,Medium,Medium to Long,Hop aroma is not perceived. Hop bitterness is low,"Nutmeg, vanilla, caramel, plums, prunes, raisins, grapes and cocoa, with rum",Tulip,45-55°F,Germany
Scotch Ale/Wee Heavy,Pungent Cheeses,Game,Creamy Desserts with Fruit,Noticeable to Hot,Light Reddish Brown to Very Dark,Clear,Mouth-Coating,Medium,Medium,Hop aroma and flavor are not perceived. Hop bitterness is low but perceptible,"Dominated by a smooth, balanced sweet maltiness. Will also have a medium",Thistle,50-55°F,Scotland / United Kingdom
Scottish-Style Ale,Pungent Cheeses,Game,Creamy Desserts with Fruit,Not Detectable to Mild,Golden to Dark Chestnut or Brown,Clear,Soft,Low to Medium,Short,Hop aroma and flavor are not perceived. Hop bitterness is low.,"Caramel, Toffee",Thistle,50-55°F,Scotland / United Kingdom
American Brett,Earthy Farmhouse Cheeses,Grilled or Roasted Game,Fruit-Filled Pastries,Varies,Varies,Varies,Varies,Low to High,Varies,"Hop aroma, flavor and bitterness are evident over a full range from low to high",Varies,Tulip,45-55°F,United States
American Sour,,,,Varies,"Any range of color, and may take on the color of other ingredients",Varies,Varies,Low to High,Varies,"Hop aroma, flavor and bitterness are evident over a full range from low to high","In darker versions, roasted malt, caramel-like and chocolate-like aromas are",Goblet,40-50°F,United States
Belgian-Style Flanders,Mimolette,Beef Carbonnade,Pumpkin Pie,Not Detectable to Mild,Copper to Very Dark,Brilliant to Slight Haze,Varies,Medium to High,Medium to Long,Hop aroma and flavor are not perceived. Hop bitterness is perceived to be very,Roasted malt aromas including a cocoa-like character are acceptable at low,Tulip,45-50°F,Belgium
Belgian-Style Fruit Lambic,Chèvre,Pineapple Ceviche,Chocolate Creme Caramel,Varies,Hued with color reflecting the choice of fruit,Varies,Varies,High,Varies,"Hop aroma, flavor and bitterness are not perceived to very low, and can include",Sweet malt characters are not perceived,Tulip,45-50°F,Belgium
Belgian-Style Lambic/Gueuze,Mascarpone with Fruit,Shellfish (Mussels),Rich Chocolate Cake,Not Detectable to Mild,Gold to Medium Amber,Brilliant (but haze may exist from yeast sediment from bottle fermentation),Drying to Soft,Very Low to High,Medium,"Hop aroma, flavor and bitterness are not perceived to very low, and can include",Sweet malt characters are not perceived,Tulip,40-50°F,Belgium
Contemporary Gose,Queso Fresco,Watermelon Salad,Greek Yogurt Lemon Mousse,Not Detectable,Straw to Light Amber,Cloudy/ Hazy,Varies,Medium to High,Medium,None,Grainy,Flute,40-50°F,Germany
American Lager,Smear Ripened Cheeses,Pho,Kettle Corn Balls,Mild,Straw to Gold,Brilliant to Clear,Drying,Medium to High,Medium,Low,Grainy,Flute,40-45°F,United States
Bohemian-Style Pilsener,Mild White Cheddar,Salads,Shortbread Cookies,Not Detectable to Mild,Straw to Light Amber,Clear to Brilliant,Soft,Medium,Short,"Hop aroma and flavor are low to medium-low, deriving from noble-type hops.","Toasted, biscuit-like, and/or bready malt flavors along with low levels of",Flute,40-45°F,Czech Republic
European-Style Export,Chèvre,Grilled Steak,Bread Pudding,Not Detectable to Mild,Straw to Deep Golden,Clear,Moderate,Medium to High,Short to Medium,"Hop flavor and aroma are very low to low, deriving from noble-type hops. Hop",Sweet malt flavor can be low and should not be caramel-like,Flute,45-50°F,Germany
German-Style Helles,Colby,Samosas,Baklava,Not Detectable to Mild,Pale to Golden,Clear to Brilliant,Moderate,Medium to High,Short to Medium,Hop aroma is not perceived to low. Hop flavor and bitterness are very low to,"Malt character is sometimes bread-like, yet always reminiscent of freshly and",Flute,45-50°F,Germany
German-Style Pilsener,White Cheddar,Salads,Shortbread Cookies,Not Detectable,Straw to Pale,Brilliant,Soft,Medium to High,Short,"Hop flavor is moderate and quite obvious, deriving from late hopping (not dry-","A sweet, malty residual aroma can be perceived",Flute,40-45°F,Germany
American Black Ale,Blue Cheeses and Aged Gouda,Grits,Chocolate Truffles,Mild to Noticeable,Very Dark to Black,Clear to Opaque,Soft,Medium,Medium to Long,"Hop aroma is medium-high to high, with hops of all origins contributing fruity,",Medium caramel malt and dark roasted malt aromas are evident,Tulip,50-55°F,United States
Barrel-Aged Beer,,,,Varies,Varies,Varies,Varies,Low to High,Varies,Varies,Varies,Tulip,50-55°F,Undetermined
Chocolate Beer,Aged Goat Cheeses,Venison Mole,Raspberry Torte,Varies,Light Brown to Black,Brilliant to Opaque,Varies,Low to High,Varies,Hop flavor and aroma are lower than might be expected for the style. Under-,Medium-low to medium-high malt sweetness helps accent cocoa flavors and,Snifter,50-55°F,Undetermined
Coffee Beer,Aged Semi-Hard Cheeses,Pork Tenderloin,Vanilla Ice Cream,Varies,Pale to Black,Brilliant to Opaque,Varies,Low to High,Varies,Hop flavor is reflective of aroma and can be low to high depending on the intent,Medium-low to medium malt sweetness helps accent coffee flavors and aromas.,Nonic Pint,50-55°F,Undetermined
Fruit and Field Beer,Creamy Cheeses,Salads,Vanilla Ice Cream,Varies,Pale to Very Dark,Varies,Varies,Low to High,Varies,Hop bitterness is very low to medium-high,Malt sweetness is very low to medium-high,Tulip,Varies,Undetermined
Gluten Free,,,,Varies,Varies,Varies,Varies,Low to High,Varies,Varies,"Malted barley, wheat and other gluten-rich grains should not be perceived",Flute,Varies,Undetermined
Herb and Spice Beer,,,,Varies,Any range of color depending on the underlying style,Varies,Varies,Low to High,Varies,"Hop aroma is not essential, but may be evident at low levels and should not",Varies,Tulip,45-55°F,Undetermined
Honey Beer,Ricotta,Bruschetta,Lemon Basil Gelato,Varies,Varies,Varies,Varies,Low to High,Varies,"Hop bitterness is very low to very high, and may be used for highlighting desired",Varies,Tulip,50-55°F,Undetermined
Pumpkin Beer,Camembert,Roasted Turkey,Coffee Ice Cream,Varies,Any range of color depending on the underlying style,Varies,Varies,Low to High,Varies,Hop bitterness is low to medium-low,Malt sweetness is low to medium-high,Tulip,50-55°F,Undetermined
Rye Beer,Wensleydale,Jerk Chicken,Savory Bread Pudding,Varies,Inclusion of rye can create a wide range of color. Lighter versions: Straw to,Varies,Varies,Low to High,Varies,Hop flavor and aroma are low to medium-high. Hop bitterness is low to,"In darker versions, malt aromas can optionally include low roasted malt",Vase,45-55°F,Germany
Session Beer,,,,Not Detectable to Mild,Varies,Varies,Varies,Low to High,Varies,Varies,Varies,Varies,Varies,Undetermined
Smoke Beer,Parmesan,Grilled Vegetables,Gingerbread Cookies,Varies,Varies,Varies,Varies,Low to High,Varies,Varies,Varies,Vase,45-55°F,Germany
Specialty Beer,,,,Varies,Varies,Varies,Varies,Low to High,Varies,Varies,Varies,Tulip,45-55°F,Undetermined
